report_id,asset_id,created_at,report_type,description,severity,source,lat,lon,image_url
RPT-119d4fbf20,RD-00498,2026-02-28T23:36:03.131493+00:00,pothole,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Field note indicates accelerating trend after recent weather.,5,contractor,,,
RPT-84ee41d5ef,RD-00783,2026-02-28T23:36:03.131493+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field note indicates accelerating trend after recent weather.",5,inspection,,,
RPT-1e8f60c544,RD-00783,2026-02-28T23:36:03.131493+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration. Field note indicates accelerating trend after recent weather.,5,inspection,,,
RPT-39381a32be,RD-00459,2026-02-28T22:56:03.013388+00:00,delamination,Deck delamination with hollow sound and moisture intrusion evidence.,2,contractor,41.641653,-87.711854,
RPT-a3630f951e,BRG-0029,2026-02-28T22:36:03.131493+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration. Field note indicates accelerating trend after recent weather.,5,contractor,,,
RPT-a33eb6e0c2,RD-00773,2026-02-28T22:32:03.013388+00:00,pothole,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic.,1,contractor,42.023102,-87.799529,
RPT-40cb70dcdd,RD-00671,2026-02-28T22:12:03.013388+00:00,spalling,Concrete spalling and exposed rebar found around deck edge and joint line.,1,contractor,41.808289,-87.559997,https://example.com/images/rd-00671_corrosion.jpg
RPT-56056c7c5d,RD-00425,2026-02-28T21:34:03.013388+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration.,3,inspection,41.824217,-87.536807,https://example.com/images/rd-00425_fatigue.jpg
RPT-d8e48e6330,RD-00887,2026-02-28T20:04:03.013388+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events.",2,contractor,41.666314,-87.925296,
RPT-c8f9615128,BRG-0089,2026-02-28T20:03:03.013388+00:00,corrosion,Corrosion staining and section loss observed on bearing and steel members.,4,contractor,41.747379,-87.668489,https://example.com/images/brg-0089_pothole.jpg
RPT-d65c34da1f,RD-00245,2026-02-28T19:41:03.013388+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events.",2,inspection,41.872837,-87.669331,
RPT-4aa07aa292,RD-00159,2026-02-28T19:36:03.131493+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field note indicates accelerating trend after recent weather.",5,311,,,
RPT-4b2e1acc80,RD-00569,2026-02-28T19:36:03.131493+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field note indicates accelerating trend after recent weather.",3,311,,,
RPT-11e6a1c657,RD-00482,2026-02-28T19:36:03.131493+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field note indicates accelerating trend after recent weather.",5,inspection,,,
RPT-840dc5fcf4,BRG-0356,2026-02-28T19:33:03.013388+00:00,crack,Longitudinal cracking near wheel path with water ingress and patch separation.,2,311,41.665363,-87.550425,
RPT-6083131b85,RD-00925,2026-02-28T19:19:03.013388+00:00,spalling,Concrete spalling and exposed rebar found around deck edge and joint line.,4,inspection,41.67271,-87.882651,https://example.com/images/rd-00925_fatigue.jpg
RPT-e46a52af34,RD-00839,2026-02-28T19:14:03.013388+00:00,delamination,Deck delamination with hollow sound and moisture intrusion evidence.,4,contractor,41.669235,-87.524214,
RPT-a4c0cfa8b3,BRG-0017,2026-02-28T18:42:03.013388+00:00,drainage,"Standing water, blocked inlets, and shoulder washout after rainfall events.",2,contractor,41.725006,-87.844348,
RPT-9879fb2e43,RD-00445,2026-02-28T18:33:03.013388+00:00,crack,Longitudinal cracking near wheel path with water ingress and patch separation.,3,contractor,41.644162,-87.526927,https://example.com/images/rd-00445_spalling.jpg
RPT-c4df3fb293,RD-00470,2026-02-28T18:14:03.013388+00:00,pothole,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic.,1,inspection,41.947028,-87.73578,
RPT-4ec3743b9c,RD-00093,2026-02-28T17:53:03.013388+00:00,sinkhole,Localized pavement settlement and subgrade void risk near utility crossing.,5,inspection,42.032946,-87.796652,
RPT-4313af6199,RD-00208,2026-02-28T17:51:03.013388+00:00,delamination,Deck delamination with hollow sound and moisture intrusion evidence.,2,311,41.646263,-87.776067,
RPT-cff60bf673,RD-00301,2026-02-28T17:41:03.013388+00:00,crack,Longitudinal cracking near wheel path with water ingress and patch separation.,2,311,41.912163,-87.894621,
RPT-6d53fd20c6,RD-00264,2026-02-28T17:38:03.013388+00:00,spalling,Concrete spalling and exposed rebar found around deck edge and joint line.,1,311,42.04665,-87.53096,
RPT-bff0bb9179,BRG-0267,2026-02-28T17:17:03.013388+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration.,3,311,42.042455,-87.536038,https://example.com/images/brg-0267_washout.jpg
RPT-1fe36277ce,BRG-0173,2026-02-28T17:02:03.013388+00:00,delamination,Deck delamination with hollow sound and moisture intrusion evidence.,5,311,42.028936,-87.838024,https://example.com/images/brg-0173_joint.jpg
RPT-ccf9f2e667,RD-00441,2026-02-28T16:09:03.013388+00:00,corrosion,Corrosion staining and section loss observed on bearing and steel members.,3,311,41.758977,-87.557247,https://example.com/images/rd-00441_crack.jpg
RPT-4dcb23715c,BRG-0338,2026-02-28T16:06:03.013388+00:00,fatigue,Fatigue cracking at welded detail under repeated heavy axle loading.,4,311,41.865015,-87.833457,https://example.com/images/brg-0338_drainage.jpg
RPT-bf7d8350d6,RD-00121,2026-02-28T16:01:03.013388+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration.,3,inspection,42.046511,-87.822263,
RPT-66388a997a,BRG-0265,2026-02-28T15:48:03.013388+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration.,3,inspection,41.937267,-87.708771,
RPT-3643670488,RD-00305,2026-02-28T15:42:03.013388+00:00,crack,Longitudinal cracking near wheel path with water ingress and patch separation.,3,inspection,42.040063,-87.58254,https://example.com/images/rd-00305_drainage.jpg
RPT-21a0f71f40,BRG-0012,2026-02-28T15:36:03.131493+00:00,crack,Longitudinal cracking near wheel path with water ingress and patch separation. Field note indicates accelerating trend after recent weather.,4,311,,,
RPT-a46c95a72d,RD-00608,2026-02-28T15:29:03.013388+00:00,corrosion,Corrosion staining and section loss observed on bearing and steel members.,5,311,41.87234,-87.565048,
RPT-76e2654bdf,RD-00025,2026-02-28T15:11:03.013388+00:00,corrosion,Corrosion staining and section loss observed on bearing and steel members.,3,contractor,41.876776,-87.809042,https://example.com/images/rd-00025_spalling.jpg
RPT-1d6425f08b,BRG-0126,2026-02-28T15:00:03.013388+00:00,corrosion,Corrosion staining and section loss observed on bearing and steel members.,3,contractor,42.044279,-87.82665,
RPT-8efb6d1382,BRG-0242,2026-02-28T14:43:03.013388+00:00,crack,Longitudinal cracking near wheel path with water ingress and patch separation.,3,inspection,41.728061,-87.658548,
RPT-c4a56d5b47,RD-00413,2026-02-28T14:36:03.131493+00:00,corrosion,Corrosion staining and section loss observed on bearing and steel members. Field note indicates accelerating trend after recent weather.,3,inspection,,,
RPT-04430fdb62,RD-00287,2026-02-28T14:20:03.013388+00:00,sinkhole,Localized pavement settlement and subgrade void risk near utility crossing.,4,311,42.04501,-87.82309,
RPT-9dca7c8431,RD-00988,2026-02-28T14:07:03.013388+00:00,delamination,Deck delamination with hollow sound and moisture intrusion evidence.,3,contractor,41.983057,-87.57337,
RPT-e1966ee0ef,RD-00535,2026-02-28T13:03:03.013388+00:00,sinkhole,Localized pavement settlement and subgrade void risk near utility crossing.,5,311,41.931493,-87.785407,
RPT-45bd419684,BRG-0275,2026-02-28T13:01:03.013388+00:00,scour,Pier scour concerns from high-flow channel migration and undermining signs.,4,inspection,42.003165,-87.763951,https://example.com/images/brg-0275_corrosion.jpg
RPT-f91955c0be,BRG-0265,2026-02-28T12:46:03.013388+00:00,spalling,Concrete spalling and exposed rebar found around deck edge and joint line.,2,inspection,41.939838,-87.711013,
RPT-abb353c09a,RD-00482,2026-02-28T12:36:03.131493+00:00,joint_failure,Expansion joint leakage accelerating deck and support deterioration. Field note indicates accelerating trend after recent weather.,3,311,,,
RPT-c7a66a04e6,RD-00036,2026-02-28T12:15:03.013388+00:00,delamination,Deck delamination with hollow sound and moisture intrusion evidence.,4,contractor,42.038036,-87.904293,https://example.com/images/rd-00036_washout.jpg
