asset_id,asset_type,name,lat,lon,year_built,material,avg_daily_traffic,deck_rating,superstructure_rating,substructure_rating,last_inspection_date,inspection_notes,repair_history,images
BRG-0001,bridge,Central Span 1,41.902165,-87.939245,1985,reinforced_concrete,67196,6,8,4,2026-01-15,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.,,
BRG-0002,bridge,West Span 2,41.933568,-87.64843,2003,steel,60787,2,4,6,2026-02-25,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0002_joint.jpg
BRG-0003,bridge,West Span 3,41.787182,-87.802099,1983,prestressed_concrete,14390,5,3,7,2025-05-22,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.,deck patch 2024-07-16,https://example.com/images/brg-0003_crack.jpg
BRG-0004,bridge,South Span 4,41.706688,-87.797234,1984,steel,21717,5,4,5,2025-02-20,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0004_corrosion.jpg|https://example.com/images/brg-0004_pothole.jpg
BRG-0005,bridge,Central Span 5,41.970069,-87.777499,1958,composite,58307,7,4,5,2025-06-18,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0005_drainage.jpg|https://example.com/images/brg-0005_washout.jpg
BRG-0006,bridge,East Span 6,41.788419,-87.52115,1967,steel,132372,4,6,6,2026-01-03,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,drain clearing 2022-10-27; bearing maintenance 2023-01-22,https://example.com/images/brg-0006_crack.jpg|https://example.com/images/brg-0006_drainage.jpg
BRG-0007,bridge,North Span 7,41.760335,-87.881992,1950,composite,72045,8,5,5,2025-04-14,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.",joint seal 2022-10-21; drain clearing 2026-01-20; bearing maintenance 2024-06-09,https://example.com/images/brg-0007_crack.jpg
BRG-0008,bridge,Central Span 8,41.97457,-87.529467,2018,composite,35967,5,7,7,2025-05-23,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,deck patch 2024-05-31,https://example.com/images/brg-0008_joint.jpg
BRG-0009,bridge,Central Span 9,41.689612,-87.85338,1993,composite,8514,4,5,6,2025-04-11,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.",deck patch 2024-08-07,
BRG-0010,bridge,East Span 10,41.739629,-87.746622,2002,steel,52914,6,7,7,2025-08-31,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0010_crack.jpg
BRG-0011,bridge,West Span 11,41.741949,-87.86821,2007,steel,39747,4,6,6,2025-07-17,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,joint seal 2024-11-01,
BRG-0012,bridge,Central Span 12,41.707501,-87.949073,1999,reinforced_concrete,72521,9,8,4,2025-10-05,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.,joint seal 2024-05-27,
BRG-0013,bridge,North Span 13,41.663321,-87.731634,1973,steel,20962,3,4,6,2025-05-13,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.,bearing maintenance 2024-09-12; bearing maintenance 2024-10-28; drain clearing 2025-06-05,https://example.com/images/brg-0013_fatigue.jpg
BRG-0014,bridge,East Span 14,41.827897,-87.520665,1962,steel,22204,6,3,5,2025-12-23,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,bearing maintenance 2022-09-25; joint seal 2022-06-02,https://example.com/images/brg-0014_spalling.jpg
BRG-0015,bridge,North Span 15,42.004782,-87.630761,1969,prestressed_concrete,74394,5,6,4,2025-10-16,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,,
BRG-0016,bridge,North Span 16,41.956159,-87.676041,1983,prestressed_concrete,45357,7,5,4,2025-07-25,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.,deck patch 2023-02-07; bearing maintenance 2022-11-24; deck patch 2023-10-02,
BRG-0017,bridge,South Span 17,41.726131,-87.842702,1963,prestressed_concrete,95714,6,2,4,2025-12-11,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0017_joint.jpg|https://example.com/images/brg-0017_washout.jpg
BRG-0018,bridge,North Span 18,41.705271,-87.64845,1998,prestressed_concrete,13151,7,6,5,2025-07-08,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.,,
BRG-0019,bridge,West Span 19,41.78397,-87.730956,2018,steel,89808,6,5,7,2025-10-16,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,drain clearing 2022-10-06; joint seal 2024-01-02,
BRG-0020,bridge,West Span 20,41.853167,-87.6032,1975,composite,98478,5,1,7,2025-09-12,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.,bearing maintenance 2022-06-04; bearing maintenance 2023-11-27,
BRG-0021,bridge,Central Span 21,41.9177,-87.561794,1988,prestressed_concrete,109450,5,5,5,2025-05-08,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,drain clearing 2025-03-18,
BRG-0022,bridge,West Span 22,41.678289,-87.54064,1980,composite,84374,7,5,7,2026-02-16,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.",drain clearing 2023-11-03,https://example.com/images/brg-0022_washout.jpg
BRG-0023,bridge,Central Span 23,41.740034,-87.667895,1950,prestressed_concrete,30941,6,4,6,2025-07-06,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.",,
BRG-0024,bridge,Central Span 24,42.029516,-87.566687,2014,steel,114867,3,6,4,2025-12-09,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,bearing maintenance 2023-03-29; deck patch 2024-08-15; joint seal 2024-07-23,
BRG-0025,bridge,East Span 25,41.696733,-87.850558,1969,prestressed_concrete,59086,7,6,4,2025-11-15,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0025_washout.jpg
BRG-0026,bridge,West Span 26,41.948925,-87.583017,2003,reinforced_concrete,60812,5,4,6,2025-06-25,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,deck patch 2023-07-17; joint seal 2023-12-15,
BRG-0027,bridge,South Span 27,41.995409,-87.871857,1983,steel,102379,4,7,4,2025-10-09,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0027_joint.jpg
BRG-0028,bridge,South Span 28,41.960306,-87.669745,1953,steel,67823,8,5,6,2025-12-12,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0028_fatigue.jpg|https://example.com/images/brg-0028_joint.jpg
BRG-0029,bridge,Central Span 29,41.958895,-87.879581,1989,prestressed_concrete,31337,2,3,2,2025-08-20,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.",deck patch 2025-08-04; bearing maintenance 2022-10-18; joint seal 2024-03-19,
BRG-0030,bridge,West Span 30,41.645187,-87.769375,2012,reinforced_concrete,30666,4,4,6,2025-07-08,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,bearing maintenance 2022-09-16; drain clearing 2023-07-22; bearing maintenance 2024-05-09,https://example.com/images/brg-0030_crack.jpg
BRG-0031,bridge,West Span 31,41.947695,-87.704965,1998,steel,91184,9,6,6,2025-10-19,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,joint seal 2023-04-07; joint seal 2024-10-22; drain clearing 2023-06-04,https://example.com/images/brg-0031_fatigue.jpg|https://example.com/images/brg-0031_fatigue.jpg
BRG-0032,bridge,Central Span 32,41.678152,-87.854714,1981,reinforced_concrete,83270,6,4,4,2025-05-21,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,drain clearing 2024-08-23; bearing maintenance 2024-11-13,https://example.com/images/brg-0032_joint.jpg
BRG-0033,bridge,North Span 33,41.718532,-87.6324,1985,prestressed_concrete,77186,8,5,5,2025-09-27,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,bearing maintenance 2025-06-15; drain clearing 2025-08-02; bearing maintenance 2023-07-13,
BRG-0034,bridge,West Span 34,42.025836,-87.744576,1958,composite,108043,7,3,6,2025-03-14,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,deck patch 2025-07-01,https://example.com/images/brg-0034_corrosion.jpg|https://example.com/images/brg-0034_washout.jpg
BRG-0035,bridge,South Span 35,41.761915,-87.696934,2004,steel,83053,5,5,6,2025-11-14,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.",,
BRG-0036,bridge,West Span 36,41.807492,-87.65357,2010,steel,79351,5,7,6,2025-10-07,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0036_corrosion.jpg
BRG-0037,bridge,North Span 37,41.863271,-87.671517,1984,reinforced_concrete,40286,6,6,5,2025-05-13,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,drain clearing 2024-08-20; drain clearing 2023-09-16; joint seal 2023-09-28,
BRG-0038,bridge,South Span 38,42.034384,-87.590538,1952,prestressed_concrete,73650,8,2,4,2025-12-01,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,drain clearing 2025-08-26; bearing maintenance 2023-11-15,
BRG-0039,bridge,South Span 39,41.808774,-87.736948,2001,prestressed_concrete,12619,4,6,4,2025-08-06,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,deck patch 2023-04-04,https://example.com/images/brg-0039_fatigue.jpg|https://example.com/images/brg-0039_pothole.jpg
BRG-0040,bridge,North Span 40,41.86518,-87.551101,2006,composite,130064,9,9,9,2025-04-23,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,,
BRG-0041,bridge,South Span 41,42.028295,-87.671485,1969,steel,133646,7,5,5,2025-06-26,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.",,
BRG-0042,bridge,West Span 42,41.753261,-87.610297,2003,prestressed_concrete,92096,4,7,5,2026-02-27,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,deck patch 2023-08-29; drain clearing 2024-03-24,
BRG-0043,bridge,South Span 43,41.996537,-87.528267,1980,composite,103393,6,8,8,2025-03-04,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,joint seal 2025-06-15; bearing maintenance 2025-08-07,https://example.com/images/brg-0043_pothole.jpg
BRG-0044,bridge,West Span 44,41.997083,-87.532919,1959,steel,126074,6,5,4,2025-04-15,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.,drain clearing 2024-05-21; drain clearing 2023-02-16; joint seal 2024-11-05,https://example.com/images/brg-0044_drainage.jpg|https://example.com/images/brg-0044_crack.jpg
BRG-0045,bridge,South Span 45,41.951752,-87.647327,1962,reinforced_concrete,119307,6,7,7,2026-01-31,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,,
BRG-0046,bridge,East Span 46,41.711778,-87.687919,1998,composite,66132,6,3,6,2025-11-02,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,bearing maintenance 2022-05-13; deck patch 2025-09-30,https://example.com/images/brg-0046_drainage.jpg|https://example.com/images/brg-0046_washout.jpg
BRG-0047,bridge,Central Span 47,41.986575,-87.864337,1999,composite,129670,7,6,5,2025-03-07,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0047_pothole.jpg
BRG-0048,bridge,South Span 48,41.981464,-87.561738,1979,reinforced_concrete,95358,6,5,7,2025-10-23,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.,joint seal 2024-06-06; joint seal 2022-11-30; deck patch 2025-08-28,
BRG-0049,bridge,North Span 49,41.96247,-87.573122,1996,composite,134542,8,3,5,2025-06-27,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,deck patch 2022-05-15,https://example.com/images/brg-0049_washout.jpg|https://example.com/images/brg-0049_joint.jpg
