asset_id,asset_type,name,lat,lon,surface_type,traffic_estimate,last_repair_date,pothole_reports_30d,pothole_reports_180d,condition_index,report_text,repair_history,images
RD-00001,road,Segment B-1,41.667422,-87.772306,asphalt,15284,2024-12-22,5,13,56,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near shoulder edge. Temporary patch applied two weeks ago.",full-depth patch 2023-10-06; seal coat 2024-07-21; drain rehab 2026-01-28,
RD-00002,road,Segment B-2,41.956708,-87.834599,concrete,53040,2025-06-12,5,14,86,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near drain inlet area. Temporary patch applied this week.,full-depth patch 2024-05-04; seal coat 2024-08-24; seal coat 2025-10-13,
RD-00003,road,Segment A-3,41.890936,-87.652001,concrete,66320,2025-12-26,6,17,67,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied last month.,,https://example.com/images/rd-00003_joint.jpg
RD-00004,road,Segment D-4,41.924748,-87.924966,concrete,43771,2024-05-03,5,16,52,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near wheel path. Temporary patch applied this week.,drain rehab 2025-03-16; mill and fill 2024-02-27,https://example.com/images/rd-00004_crack.jpg
RD-00005,road,Segment D-5,41.905203,-87.850411,asphalt,54153,2025-06-11,2,10,54,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near travel lane. Temporary patch applied this week.,full-depth patch 2024-07-01,https://example.com/images/rd-00005_spalling.jpg
RD-00006,road,Segment A-6,41.826876,-87.897479,concrete,74955,2024-06-24,5,12,86,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near drain inlet area. Temporary patch applied this week.,,
RD-00007,road,Segment C-7,41.813724,-87.544564,asphalt,95530,2024-12-06,7,18,53,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied last month.,drain rehab 2025-06-08; mill and fill 2023-06-29,https://example.com/images/rd-00007_pothole.jpg
RD-00008,road,Segment A-8,42.001452,-87.695332,composite,20847,2025-10-25,2,10,48,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near shoulder edge. Temporary patch applied last month.,seal coat 2023-07-26; mill and fill 2025-11-02,https://example.com/images/rd-00008_washout.jpg
RD-00009,road,Segment C-9,42.036059,-87.730747,asphalt,37172,2025-11-01,5,9,77,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,full-depth patch 2024-05-07,
RD-00010,road,Segment A-10,42.036646,-87.803978,asphalt,81777,2025-12-20,6,19,61,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near travel lane. Temporary patch applied this week.,seal coat 2025-12-06; seal coat 2023-10-10; mill and fill 2023-07-14,
RD-00011,road,Segment A-11,41.740367,-87.807136,composite,62043,2024-11-19,2,13,55,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near wheel path. Temporary patch applied two weeks ago.,,
RD-00012,road,Segment B-12,41.90339,-87.556346,asphalt,18472,2025-03-26,4,4,92,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near travel lane. Temporary patch applied this week.,drain rehab 2025-10-25,https://example.com/images/rd-00012_joint.jpg
RD-00013,road,Segment C-13,41.776177,-87.93147,concrete,36279,2024-12-02,2,9,69,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,,
RD-00014,road,Segment A-14,41.86871,-87.866531,asphalt,51589,2025-12-17,5,9,91,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near shoulder edge. Temporary patch applied this week.,,
RD-00015,road,Segment D-15,41.854138,-87.858456,composite,79256,2024-12-11,3,14,45,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,,
RD-00016,road,Segment C-16,41.854523,-87.792935,asphalt,33733,2026-02-19,5,9,64,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near wheel path. Temporary patch applied last month.,drain rehab 2024-07-29; mill and fill 2024-01-23; mill and fill 2024-02-23,
RD-00017,road,Segment B-17,41.793952,-87.817142,concrete,16307,2025-07-29,4,13,48,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near shoulder edge. Temporary patch applied this week.,,
RD-00018,road,Segment C-18,41.88713,-87.711801,composite,86896,2025-02-27,6,13,89,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near wheel path. Temporary patch applied this week.,seal coat 2025-03-29,
RD-00019,road,Segment C-19,41.806121,-87.834038,concrete,93717,2024-08-17,7,18,71,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near shoulder edge. Temporary patch applied this week.,seal coat 2024-01-01,
RD-00020,road,Segment A-20,41.92484,-87.756641,concrete,78492,2025-04-08,6,19,48,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,,
RD-00021,road,Segment B-21,41.703957,-87.745031,concrete,15047,2024-03-22,2,10,52,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near wheel path. Temporary patch applied two weeks ago.",seal coat 2025-06-16; mill and fill 2023-10-25; seal coat 2024-08-17,https://example.com/images/rd-00021_corrosion.jpg
RD-00022,road,Segment C-22,41.816772,-87.540419,concrete,20648,2024-12-07,3,11,79,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near shoulder edge. Temporary patch applied last month.,drain rehab 2026-01-15; mill and fill 2023-07-20; seal coat 2024-09-13,
RD-00023,road,Segment A-23,41.792643,-87.735493,composite,29591,2024-05-21,4,11,68,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied last month.,seal coat 2025-10-08; drain rehab 2026-02-02,
RD-00024,road,Segment B-24,41.676249,-87.805611,asphalt,12469,2024-04-11,5,12,62,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near wheel path. Temporary patch applied last month.,drain rehab 2026-02-03,
RD-00025,road,Segment D-25,41.876032,-87.807291,composite,48200,2026-01-12,3,16,65,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,drain rehab 2024-09-25,
RD-00026,road,Segment B-26,41.676896,-87.78054,concrete,91014,2024-06-13,3,16,71,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near travel lane. Temporary patch applied last month.,,
RD-00027,road,Segment C-27,41.668407,-87.838721,asphalt,5588,2025-03-23,4,9,89,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near travel lane. Temporary patch applied last month.,seal coat 2024-07-30; drain rehab 2023-09-12,
RD-00028,road,Segment B-28,41.888389,-87.870369,composite,85896,2024-11-21,6,14,80,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near drain inlet area. Temporary patch applied last month.,mill and fill 2024-05-19; drain rehab 2024-04-19; full-depth patch 2025-09-07,
RD-00029,road,Segment A-29,41.987432,-87.695435,concrete,58864,2024-02-18,6,13,41,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near wheel path. Temporary patch applied two weeks ago.,,https://example.com/images/rd-00029_corrosion.jpg
RD-00030,road,Segment C-30,41.979196,-87.77826,concrete,61736,2024-08-29,1,7,93,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near travel lane. Temporary patch applied this week.,full-depth patch 2025-01-31; drain rehab 2023-08-19,
RD-00031,road,Segment A-31,41.928703,-87.66034,concrete,20430,2025-06-11,5,9,46,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near travel lane. Temporary patch applied this week.",seal coat 2025-07-06; full-depth patch 2024-01-31,
RD-00032,road,Segment A-32,41.657807,-87.597986,asphalt,80522,2024-09-02,4,21,41,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near drain inlet area. Temporary patch applied last month.",drain rehab 2025-04-26,https://example.com/images/rd-00032_crack.jpg
RD-00033,road,Segment B-33,41.663931,-87.867432,composite,79239,2025-09-06,4,20,47,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near drain inlet area. Temporary patch applied this week.,seal coat 2025-12-13,
RD-00034,road,Segment D-34,41.874849,-87.836878,composite,4764,2025-12-06,4,12,35,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near shoulder edge. Temporary patch applied two weeks ago.,mill and fill 2024-06-26; mill and fill 2024-07-23,https://example.com/images/rd-00034_washout.jpg
RD-00035,road,Segment B-35,41.994551,-87.633571,composite,28569,2026-02-23,6,12,76,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,full-depth patch 2025-03-23; mill and fill 2025-03-18,https://example.com/images/rd-00035_spalling.jpg
